Code;Country;Region;;;;
ARG;Argentina;South America;;;;
AUS;Australia;Oceania;;;;
BEL;Belgium;Europe;;;;
BRA;Brazil;South America;;;;
CAN;Canada;North America;;;;
CHE;Switzerland;Europe;;;;
CHL;Chile;South America;;;;
CHN;China;East Asia;;;;
COL;Colombia;South America;;;;
DEU;Germany;Europe;;;;
DNK;Denmark;Europe;;;;
EGY;Egypt;Middle East;;;;
ESP;Spain;Europe;;;;
FIN;Finland;Europe;;;;
FRA;France;Europe;;;;
GBR;United Kingdom;Europe;;;;
HKG;Hong Kong;East Asia;;;;
HUN;Hungary;Europe;;;;
IDN;Indonesia;Southeast Asia;;;;
IND;India;South Asia;;;;
ISR;Israel;Middle East;;;;
ITA;Italy;Europe;;;;
JPN;Japan;East Asia;;;;
KOR;South Korea;East Asia;;;;
MEX;Mexico;North America;;;;
MYS;Malaysia;Southeast Asia;;;;
NLD;Netherlands;Europe;;;;
NOR;Norway;Europe;;;;
PER;Peru;South America;;;;
PHL;Philippines;Southeast Asia;;;;
POL;Poland;Europe;;;;
PRT;Portugal;Europe;;;;
RUS;Russia;Europe;;;;
SAU;Saudi Arabia;Middle East;;;;
SWE;Sweden;Europe;;;;
THA;Thailand;Southeast Asia;;;;
TUN;Tunisia;Middle East;;;;
TUR;Turkey;Middle East;;;;
TWN;Taiwan;East Asia;;;;
UKR;Ukraine;Europe;;;;
USA;United States;North America;;;;
VEN;Venezuela;South America;;;;
VNM;Vietnam;Southeast Asia;;;;
ZAF;South Africa;Africa;;;;
